app,genre,rank,chart
Netflix,Entertainment,1,top-grossing-apps
Pandora Music,Music,2,top-grossing-apps
Candy Crush Saga,Games,3,top-grossing-apps
Golf Clash,Games,4,top-grossing-apps
Hulu: Watch TV Shows & Movies,Entertainment,5,top-grossing-apps
Candy Crush Soda Saga,Games,6,top-grossing-apps
Toy Blast,Games,7,top-grossing-apps
Clash of Clans,Games,8,top-grossing-apps
Slotomania Slots: Vegas Casino,Games,9,top-grossing-apps
Final Fantasy XV: A New Empire,Games,10,top-grossing-apps
ROBLOX,Games,11,top-grossing-apps
Toon Blast,Games,12,top-grossing-apps
Gardenscapes,Games,13,top-grossing-apps
Homescapes,Games,14,top-grossing-apps
Clash Royale,Games,15,top-grossing-apps
MARVEL Contest of Champions,Games,16,top-grossing-apps
Pokémon GO,Games,17,top-grossing-apps
Choices: Stories You Play,Games,18,top-grossing-apps
Guns of Glory,Games,19,top-grossing-apps
Sing! by Smule,Music,20,top-grossing-apps
Spotify Music,Music,21,top-grossing-apps
Slots Casino - House of Fun,Games,22,top-grossing-apps
LinkedIn,Social Networking,23,top-grossing-apps
DoubleDown Casino Slots & More,Games,24,top-grossing-apps
Episode - Choose Your Story,Games,25,top-grossing-apps
TIDAL,Music,26,top-grossing-apps
Lords Mobile,Games,27,top-grossing-apps
Big Fish Casino: Slots & Games,Games,28,top-grossing-apps
Design Home,Games,29,top-grossing-apps
Heart of Vegas – Slots Casino,Games,30,top-grossing-apps
SoundCloud - Music & Audio,Music,31,top-grossing-apps
HotspotShield VPN & Wifi Proxy,Productivity,32,top-grossing-apps
Star Wars™: Galaxy of Heroes,Games,33,top-grossing-apps
iHeartRadio,Music,34,top-grossing-apps
MyFitnessPal,Health & Fitness,35,top-grossing-apps
Hearthstone,Games,36,top-grossing-apps
The Sims™ Mobile,Games,37,top-grossing-apps
Sweat: Kayla Itsines Fitness,Health & Fitness,38,top-grossing-apps
Fishdom,Games,39,top-grossing-apps
World Series of Poker - WSOP,Games,40,top-grossing-apps
Cashman Casino Vegas Slot Game,Games,41,top-grossing-apps
Dropbox,Productivity,42,top-grossing-apps
CSR Racing 2,Games,43,top-grossing-apps
Game of Thrones: Conquest™,Games,44,top-grossing-apps
MileIQ: Mileage Log for Taxes,Finance,45,top-grossing-apps
Norton WiFi Privacy VPN,Productivity,46,top-grossing-apps
MADDEN NFL Football,Games,47,top-grossing-apps
Calm,Health & Fitness,48,top-grossing-apps
BetterMe: Weight Loss Workouts,Health & Fitness,49,top-grossing-apps
Panda Pop - Bubble Shooter,Games,50,top-grossing-apps
Slots: Jackpot Party Casino,Games,51,top-grossing-apps
TuneIn Radio: Music & Podcasts,Music,52,top-grossing-apps
Caesars Casino Official Slots,Games,53,top-grossing-apps
8 Ball Pool™,Games,54,top-grossing-apps
King of Avalon: Dragon Warfare,Games,55,top-grossing-apps
War and Order,Games,56,top-grossing-apps
Bingo Blitz - Bingo Games,Games,57,top-grossing-apps
Angry Birds 2,Games,58,top-grossing-apps
Slot Machines - Huuuge Casino,Games,59,top-grossing-apps
Summoners War,Games,60,top-grossing-apps
The Sims™ FreePlay,Games,61,top-grossing-apps
War Dragons,Games,62,top-grossing-apps
DoubleU Casino: Vegas Slots,Games,63,top-grossing-apps
Minecraft,Games,64,top-grossing-apps
Love Nikki-Dress UP Queen,Games,65,top-grossing-apps
Township,Games,66,top-grossing-apps
MLB At Bat,Sports,67,top-grossing-apps
DRAGON BALL Z DOKKAN BATTLE,Games,68,top-grossing-apps
Candy Crush Jelly Saga,Games,69,top-grossing-apps
POP! Slots – Casino Slot Games,Games,70,top-grossing-apps
UNICORN - Color by Number Game,Entertainment,71,top-grossing-apps
انتقام السلاطين,Games,72,top-grossing-apps
Hay Day,Games,73,top-grossing-apps
