app,genre,rank,chart
Pandora Music,Music,1,top-grossing-apps
Netflix,Entertainment,2,top-grossing-apps
Candy Crush Saga,Games,3,top-grossing-apps
Hulu: Watch TV Shows & Movies,Entertainment,4,top-grossing-apps
Star Wars™: Galaxy of Heroes,Games,5,top-grossing-apps
Candy Crush Soda Saga,Games,6,top-grossing-apps
Final Fantasy XV: A New Empire,Games,7,top-grossing-apps
Clash of Clans,Games,8,top-grossing-apps
Toy Blast,Games,9,top-grossing-apps
DRAGON BALL Z DOKKAN BATTLE,Games,10,top-grossing-apps
Golf Clash,Games,11,top-grossing-apps
Slotomania Slots: Vegas Casino,Games,12,top-grossing-apps
MARVEL Contest of Champions,Games,13,top-grossing-apps
Toon Blast,Games,14,top-grossing-apps
Gardenscapes,Games,15,top-grossing-apps
Homescapes,Games,16,top-grossing-apps
Design Home,Games,17,top-grossing-apps
Clash Royale,Games,18,top-grossing-apps
Choices: Stories You Play,Games,19,top-grossing-apps
TIDAL,Music,20,top-grossing-apps
Guns of Glory,Games,21,top-grossing-apps
Summoners War,Games,22,top-grossing-apps
Heads Up!,Games,23,top-grossing-apps
ROBLOX,Games,24,top-grossing-apps
Spotify Music,Music,25,top-grossing-apps
Sing! by Smule,Music,26,top-grossing-apps
Big Fish Casino: Slots & Games,Games,27,top-grossing-apps
LinkedIn,Social Networking,28,top-grossing-apps
HotspotShield VPN & Wifi Proxy,Productivity,29,top-grossing-apps
Lords Mobile,Games,30,top-grossing-apps
War Dragons,Games,31,top-grossing-apps
SoundCloud - Music & Audio,Music,32,top-grossing-apps
Slots Casino - House of Fun,Games,33,top-grossing-apps
Pokémon GO,Games,34,top-grossing-apps
iHeartRadio,Music,35,top-grossing-apps
Heart of Vegas – Slots Casino,Games,36,top-grossing-apps
Game of Thrones: Conquest™,Games,37,top-grossing-apps
Slot Machines - Huuuge Casino,Games,38,top-grossing-apps
MyFitnessPal,Health & Fitness,39,top-grossing-apps
Dropbox,Productivity,40,top-grossing-apps
DoubleDown Casino Slots & More,Games,41,top-grossing-apps
TuneIn Radio: Music & Podcasts,Music,42,top-grossing-apps
Lineage 2: Revolution,Games,43,top-grossing-apps
Episode - Choose Your Story,Games,44,top-grossing-apps
Sweat: Kayla Itsines Fitness,Health & Fitness,45,top-grossing-apps
Cashman Casino Vegas Slot Game,Games,46,top-grossing-apps
MADDEN NFL Football,Games,47,top-grossing-apps
King of Avalon: Dragon Warfare,Games,48,top-grossing-apps
BetterMe: Weight Loss Workouts,Health & Fitness,49,top-grossing-apps
Calm,Health & Fitness,50,top-grossing-apps
Fate/Grand Order (English),Games,51,top-grossing-apps
Fishdom,Games,52,top-grossing-apps
World Series of Poker - WSOP,Games,53,top-grossing-apps
Bingo Blitz - Bingo Games,Games,54,top-grossing-apps
The Sims™ Mobile,Games,55,top-grossing-apps
CSR Racing 2,Games,56,top-grossing-apps
MileIQ: Mileage Log for Taxes,Finance,57,top-grossing-apps
Fire Emblem Heroes,Games,58,top-grossing-apps
POP! Slots – Casino Slot Games,Games,59,top-grossing-apps
Yu-Gi-Oh! Duel Links,Games,60,top-grossing-apps
Hearthstone,Games,61,top-grossing-apps
Angry Birds 2,Games,62,top-grossing-apps
Best VPN Proxy Betternet,Productivity,63,top-grossing-apps
Panda Pop - Bubble Shooter,Games,64,top-grossing-apps
8 Ball Pool™,Games,65,top-grossing-apps
Caesars Casino Official Slots,Games,66,top-grossing-apps
Township,Games,67,top-grossing-apps
DoubleU Casino: Vegas Slots,Games,68,top-grossing-apps
Candy Crush Jelly Saga,Games,69,top-grossing-apps
Zynga Poker - Texas Holdem,Games,70,top-grossing-apps
Hay Day,Games,71,top-grossing-apps
Crunchyroll - Everything Anime,Entertainment,72,top-grossing-apps
Color by Number: Coloring Book,Games,73,top-grossing-apps
UNICORN - Color by Number Game,Entertainment,74,top-grossing-apps
Slots - Billionaire Casino,Games,75,top-grossing-apps
